Type;Name;Address;Place;Current Price (LKR);2022 Price (LKR);2021 Price (LKR);2020 Price (LKR);Rooms;Bed;Deposit Amount (LKR);Status;Bedroom;Bathroom;Balcony;Carpet Area (sqft);Age;Total Floors;Room Floor;Furnished;Loan;Description;Saler Name;Email;Phone Number
Apartment;Property 90;15 Example Road;Colombo 3;27558885;80608598;30816448;132835513;6;3;2813461;Available;9;3;No;747;31;13;9;Fully;Available;Description of property 90;Seller 90;seller90@example.com;759621777
Land;Property 91;91 Example Road;Colombo 7;67127479;58007793;189675900;169019121;9;10;4932620;Available;4;4;No;1778;3;8;15;Available;Not Available;Description of property 91;Seller 91;seller91@example.com;710514466
Apartment;Property 92;12 Example Road;Colombo 7;150341098;28863494;158891559;25812453;10;7;6489112;Sold;9;7;No;943;14;10;2;Semi;Not Available;Description of property 92;Seller 92;seller92@example.com;712604979
Land;Property 93;59 Example Road;Colombo 7;198054720;160495970;93702862;183643467;7;7;5054689;Sold;10;7;Yes;3309;43;16;16;Fully;Available;Description of property 93;Seller 93;seller93@example.com;711997254
Apartment;Property 94;20 Example Road;Kandy;20033204;143637594;151357320;112019823;6;8;8344762;Available;5;3;No;642;36;11;13;Available;Available;Description of property 94;Seller 94;seller94@example.com;703241673
House;Property 95;37 Example Road;Kandy;96802582;173646840;141914904;37814682;8;6;2031049;Available;9;4;Yes;4927;14;17;12;Fully;Available;Description of property 95;Seller 95;seller95@example.com;795933197
House;Property 96;75 Example Road;Nuwara Eliya;59911235;151697851;66843425;30485909;6;5;1903309;Available;10;5;No;3606;4;7;13;Semi;Not Available;Description of property 96;Seller 96;seller96@example.com;786043766
Residence;Property 97;14 Example Road;Colombo 7;60487926;16296777;137850849;40576717;9;2;1351262;Sold;3;6;Yes;4329;25;6;12;Fully;Not Available;Description of property 97;Seller 97;seller97@example.com;793207917
Residence;Property 98;9 Example Road;Colombo 3;198541810;39835995;181952255;68380767;1;8;1874034;Available;6;6;Yes;1428;3;20;17;Available;Available;Description of property 98;Seller 98;seller98@example.com;736492028
Apartment;Property 99;13 Example Road;Galle;97982680;164915192;19778191;159413633;1;10;6723831;Sold;3;4;No;511;35;15;5;Fully;Not Available;Description of property 99;Seller 99;seller99@example.com;763406727
Land;Property 100;77 Example Road;Colombo 3;192412709;120314790;145585448;61305908;7;7;3944913;Sold;9;1;No;892;49;2;6;Available;Available;Description of property 100;Seller 100;seller100@example.com;710146530
Residence;Property 101;76 Example Road;Colombo 7;27246075;191990884;19482368;179093349;5;10;3335423;Available;2;6;No;2390;26;20;10;Fully;Not Available;Description of property 101;Seller 101;seller101@example.com;769400675
Apartment;Property 102;58 Example Road;Colombo 3;48801641;159174849;163032322;149447572;5;1;1760813;Sold;4;7;Yes;4390;3;7;4;Semi;Available;Description of property 102;Seller 102;seller102@example.com;723820614
Residence;Property 103;28 Example Road;Colombo 7;93518946;145713303;44781796;10946395;5;3;3965761;Available;6;10;Yes;795;9;17;2;Fully;Not Available;Description of property 103;Seller 103;seller103@example.com;701000163
Land;Property 104;77 Example Road;Colombo 7;129247480;124402392;81103233;136591755;3;7;4983432;Available;2;6;Yes;1971;8;8;20;Fully;Available;Description of property 104;Seller 104;seller104@example.com;711898871
House;Property 105;90 Example Road;Colombo 7;141456712;161748368;99872311;136895725;4;1;1500881;Available;7;10;No;691;14;1;11;Available;Available;Description of property 105;Seller 105;seller105@example.com;739408458
Land;Property 106;96 Example Road;Nuwara Eliya;50685960;117423564;54623433;43196783;5;9;3915825;Available;3;7;No;1495;50;14;8;Semi;Not Available;Description of property 106;Seller 106;seller106@example.com;702918543
Shop;Property 107;19 Example Road;Colombo 7;163442536;67112243;179888989;63581800;9;7;7401490;Available;2;4;No;794;27;8;18;Available;Available;Description of property 107;Seller 107;seller107@example.com;760808472
Shop;Property 108;4 Example Road;Nuwara Eliya;35123605;139115891;185202646;14441828;3;5;9323798;Available;8;2;No;1954;24;10;12;Semi;Available;Description of property 108;Seller 108;seller108@example.com;704675356
Shop;Property 109;52 Example Road;Galle;50375111;132603322;98373718;150585165;10;10;2372940;Sold;2;8;No;967;22;5;2;Fully;Not Available;Description of property 109;Seller 109;seller109@example.com;741970437
House;Property 110;15 Example Road;Nuwara Eliya;10063803;56991997;143278461;177960299;10;2;4048473;Available;5;6;No;1362;23;7;19;Available;Not Available;Description of property 110;Seller 110;seller110@example.com;745322810
Land;Property 111;16 Example Road;Nuwara Eliya;160558671;26167999;142570886;41433299;4;9;8273713;Sold;6;2;Yes;2206;45;13;9;Semi;Not Available;Description of property 111;Seller 111;seller111@example.com;790381824
Apartment;Property 112;25 Example Road;Colombo 7;51007129;145676928;120943709;149605089;2;6;6667819;Available;5;7;Yes;4228;49;10;1;Available;Not Available;Description of property 112;Seller 112;seller112@example.com;751953098
Shop;Property 113;45 Example Road;Kandy;117408078;35437990;49511707;41725652;6;2;3062661;Available;1;6;Yes;1868;15;6;18;Available;Not Available;Description of property 113;Seller 113;seller113@example.com;709205670
Residence;Property 114;6 Example Road;Kandy;130615599;193603844;82815324;82064636;3;3;3658253;Sold;10;4;Yes;4165;26;11;15;Available;Available;Description of property 114;Seller 114;seller114@example.com;724891478
Residence;Property 115;20 Example Road;Colombo 3;198893571;158966945;83251324;71397039;9;1;720429;Available;10;3;Yes;4437;43;6;15;Fully;Not Available;Description of property 115;Seller 115;seller115@example.com;733085381
Land;Property 116;34 Example Road;Colombo 3;192380729;185713017;65399333;151869811;10;5;6181211;Sold;10;8;No;4648;17;12;12;Available;Not Available;Description of property 116;Seller 116;seller116@example.com;742067571
Residence;Property 117;30 Example Road;Nuwara Eliya;70795662;37415903;56737343;192768364;1;5;7300072;Available;4;7;No;2909;3;14;14;Available;Not Available;Description of property 117;Seller 117;seller117@example.com;745603015
House;Property 118;64 Example Road;Colombo 7;49688154;161968609;74772498;191637532;1;2;165949;Sold;4;9;Yes;3170;1;8;13;Available;Available;Description of property 118;Seller 118;seller118@example.com;764623433
Residence;Property 119;58 Example Road;Kandy;98608503;92078458;100834120;143266963;3;9;7503946;Sold;9;2;No;2074;39;15;1;Fully;Available;Description of property 119;Seller 119;seller119@example.com;733340074
Residence;Property 120;96 Example Road;Colombo 3;37383473;44163955;183785184;73885008;3;7;6051110;Available;4;10;Yes;3504;15;7;12;Fully;Not Available;Description of property 120;Seller 120;seller120@example.com;714523636
House;Property 121;6 Example Road;Galle;105754986;89750203;129334642;30371907;5;9;2862981;Available;7;2;Yes;1527;12;2;4;Available;Not Available;Description of property 121;Seller 121;seller121@example.com;723592357
House;Property 122;24 Example Road;Colombo 3;143630617;113439476;6871319;171308630;4;8;1662842;Sold;5;7;Yes;962;33;15;18;Semi;Not Available;Description of property 122;Seller 122;seller122@example.com;722577245
Shop;Property 123;7 Example Road;Nuwara Eliya;59350939;154270126;129113718;157228644;5;2;5737829;Sold;8;5;Yes;3217;39;9;7;Semi;Not Available;Description of property 123;Seller 123;seller123@example.com;706758235
Land;Property 124;97 Example Road;Galle;99813145;77415702;131443604;190351077;8;4;2912248;Available;4;4;Yes;3506;22;12;1;Fully;Not Available;Description of property 124;Seller 124;seller124@example.com;758066137
Apartment;Property 125;91 Example Road;Colombo 3;112792447;87772602;158453192;60142297;3;9;6664188;Sold;2;9;No;1023;49;5;20;Semi;Not Available;Description of property 125;Seller 125;seller125@example.com;728098656
Residence;Property 126;57 Example Road;Colombo 3;174570681;51825945;19724095;38452819;5;7;4724803;Available;9;9;No;2881;45;10;9;Semi;Available;Description of property 126;Seller 126;seller126@example.com;710521287
Shop;Property 127;43 Example Road;Colombo 3;124205573;148710702;96494718;190359017;5;7;5866769;Available;5;9;No;1651;45;6;1;Fully;Available;Description of property 127;Seller 127;seller127@example.com;776426791
Apartment;Property 128;22 Example Road;Kandy;26658379;111460159;49219587;17491315;1;1;1924913;Available;10;10;Yes;2933;19;3;1;Fully;Available;Description of property 128;Seller 128;seller128@example.com;710237134
Residence;Property 129;12 Example Road;Galle;71027010;51224824;93214142;11090501;3;8;4201116;Available;3;7;No;3735;17;4;1;Available;Not Available;Description of property 129;Seller 129;seller129@example.com;740056676
Shop;Property 130;1 Example Road;Galle;180948877;165989743;15678905;100958314;9;8;1119320;Sold;3;1;Yes;3644;39;14;10;Fully;Not Available;Description of property 130;Seller 130;seller130@example.com;727657213
Residence;Property 131;21 Example Road;Galle;117150669;49221545;198072905;70862068;10;6;3861531;Available;1;2;Yes;4369;45;1;19;Available;Not Available;Description of property 131;Seller 131;seller131@example.com;791401538
Apartment;Property 132;34 Example Road;Kandy;152453555;131579050;4131800;195768001;8;7;2873392;Sold;5;5;Yes;3724;45;11;20;Available;Available;Description of property 132;Seller 132;seller132@example.com;720365533
Shop;Property 133;69 Example Road;Nuwara Eliya;124915856;120388813;92916015;38014649;6;7;2155685;Sold;3;9;Yes;4964;14;6;4;Fully;Not Available;Description of property 133;Seller 133;seller133@example.com;786593357
Shop;Property 134;35 Example Road;Colombo 7;88979387;198617810;120742100;19898847;3;1;2588411;Available;4;5;No;2144;48;16;1;Available;Available;Description of property 134;Seller 134;seller134@example.com;744232792
Shop;Property 135;50 Example Road;Colombo 7;81674615;128336404;62649075;73526196;5;6;9920711;Sold;1;3;Yes;2951;41;11;12;Available;Not Available;Description of property 135;Seller 135;seller135@example.com;715086525
House;Property 136;82 Example Road;Galle;95533338;191096076;14306900;44961813;5;4;9406430;Available;10;6;No;4833;16;5;3;Available;Available;Description of property 136;Seller 136;seller136@example.com;789364968
Apartment;Property 137;95 Example Road;Colombo 7;54390031;178756672;75731393;130219132;7;6;2266495;Available;2;2;No;4248;5;2;15;Available;Not Available;Description of property 137;Seller 137;seller137@example.com;795493570
Residence;Property 138;74 Example Road;Colombo 3;188638416;174158027;55865756;73446695;10;7;3254035;Available;10;3;Yes;4400;10;3;8;Semi;Not Available;Description of property 138;Seller 138;seller138@example.com;797207321
Land;Property 139;48 Example Road;Colombo 3;140234105;134122243;30324411;153047337;8;6;5004304;Available;4;7;No;2188;25;19;11;Available;Not Available;Description of property 139;Seller 139;seller139@example.com;754068093
